event_id,vehicle_class,election_year,peak_pre_price,election_month_price,drop_from_peak_pct,change_12m_to_election_pct,near_vs_early_pct
Category A_2011,Category A,2011,46866.5,45889.5,-2.0846446822357145,71.57839636574377,42.886621812181836
Category A_2015,Category A,2015,67675.0,56244.0,-16.89102327299594,-11.315741755426089,-10.12415510357787
Category A_2020,Category A,2020,35165.0,33109.5,-5.845300725152846,19.840379325322143,6.056456456456449
Category A_2025,Category A,2025,103349.5,102755.0,-0.5752325845795103,10.308957402954322,4.254550688272074
Category B_2011,Category B,2011,67251.5,56155.5,-16.499260239548562,54.69834710743802,44.40125372099983
Category B_2015,Category B,2015,77306.5,61051.0,-21.027339227619922,-15.791724137931029,-11.387440633971558
Category B_2020,Category B,2020,41583.0,35445.0,-14.760839766250633,-3.427512737378413,-7.987643424536628
Category B_2025,Category B,2025,119063.0,118439.0,-0.5240922872764786,12.429102334698673,11.596652482750036
