term,coef,std_err_hc3,z_or_t,p_value,ci_low_95,ci_high_95
Intercept,0.03291338548260958,0.06526041752731976,0.504339180312954,0.614023049187572,-0.09499468248698364,0.1608214534522028
C(vehicle_class)[T.Category B],-0.0047882337916381815,0.07773606785576927,-0.061596038026032175,0.9508845321504601,-0.15714812708870773,0.14757165950543139
C(vehicle_class)[T.Category E],-0.026324047119971467,0.07690820993770657,-0.34227876505373334,0.7321411145811101,-0.17706136871332182,0.12441327447337888
election_year,0.1656936185259162,0.059065170479512166,2.8052677606913883,0.005027479635372479,0.049928011645353945,0.28145922540647844
dlog_quota,0.01333542721566619,0.196501304563604,0.06786431899412529,0.9458936425607907,-0.37180005264413385,0.3984709070754662
dlog_bids,-0.6454706056229043,0.17888360185437244,-3.6083274203544726,0.00030817740964843293,-0.9960760226822767,-0.29486518856353183
