series,adf_stat,p_value,n_obs
log_premium,-3.033717507594519,0.031863346166772714,1051
log_quota,-2.053283105622579,0.2637095794928096,1051
log_bids,-1.7972681203037246,0.38181883709617337,1051
log_cpi_private_transport,-3.577665513225827,0.006202654341192254,1051
log_rsi_motor_vehicles,-2.896190467844998,0.04579279104044791,1051
