variable,coef,p_value
const,6.5791004428424955,1.3382404032336514e-171
log_quota,-0.306820479294458,7.276773714390687e-14
log_bids,0.0028929670876172153,0.9454636461170379
log_cpi_pt,1.5801283372248016,0.0
log_rsi_mv,-0.1054635072217649,0.002272153733457651
class_Category B,0.11186936038181602,1.099941003348949e-11
class_Category E,-0.11710858287051046,2.3728454551146017e-06
